title,date,year,venue,type,co-authors,cited_by_count,link
Multiomic approaches identify a rare CCG repeat expansion in BCLAF3 in neurodevelopmental disorders,2026-07-22,2026,Genome Medicine,article,Christy W. LaFlamme; Chris Clarkson; Kristina Ibáñez; Jin-Yuan Wang; Soham Sengupta; Jenny Lord; Virginia Valentine; Emily Bonkowski; Edith P. Almanza Fuerte; Athena R. Olszewski; Sourav Ghosh; Bharati Jadhav; Taralynn Mack; Jiadong Lin; Sophia B Gibson; Johanna M. van Hagen; Mariëlle Alders; Alexandra Martin-Geary; Bida Gu; Mira Kharbanda; Siddharth Banka; Helen M. Stuart; Andrew R. Webster; A Hosokawa; Harriet Dashnow; Richa Bajpai; Shondra M. Pruett-Miller; Mark Chaisson; Danny E. Miller; Nicola Whiffin; Evan E. Eichler; Sanjay M. Sisodiya; Henry Houlden; Andrew J. Sharp; Bekim Sadikovic; Marc Valentine; Lynette G. Sadleir; Arianna Tucci; Heather C. Mefford,0,https://doi.org/10.1186/s13073-026-01729-4
High-resolution single-cell mapping of clonal hematopoiesis and structural variation in aplastic anemia,2026-05-01,2026,Nature Genetics,article,Masanori Yoshida; Sushree Sangita Sahoo; Paula Y. Arnold; Carmelo Gurnari; Anaïs J C N van Leeuwen; Limeng Pu; Markus J. van Roosmalen; Ti-Cheng Chang; Charnise Goodings; Rashid Mehmood; Lucca L M Derks; Nathan Gray; Michelle Boals; Sara Lewis; Lili Kotmayer; Cristyn Branstetter; Swapna Thota; Joshua Leow; Wenchao Zhang; Yichao Li; Melanie R. Loyd; Granger Ridout; Emily Walker; Christy W. LaFlamme; Heather C Mefford; Zachary Brady; Yash Shah; Rheanna G Congdon; M Erlacher; B Strahm; A Yoshimi; Shinsuke Hirabayashi; Helen D. Reed; Akiko Shimamura; Guolian Kang; X Chen; Jinghui Zhang; CM Niemeyer; Joseph H. Oved; Timothy S Olson; Ruben van Boxtel; Jaroslaw P. Maciejewski; Daria V. Babushok; Marcin W Wlodarski,0,https://doi.org/10.1038/s41588-026-02587-x
Genome sequencing boosts diagnostic yield for the developmental and epileptic encephalopathies,2026-04-28,2026,medRxiv,preprint,Jacob E. Munro; Harshini Thiyagarajah; Mark F. Bennett; Annie T.G. Chiu; Amy Schneider; Caitlin A. Bennett; Nico Lieffering; Talia Allan; Tom Witkowski; Rebekah V. Harris; Joshua Reid; Neblina Sikta; Sian Macdonald; Lucy Coulter; Yew Li Dang; Jennifer Kerkhof; Bekim Sadikovic; Piero Perucca; Samuel F. Berkovic; Soham Sengupta; Christy W. LaFlamme; Heather C. Mefford; Melanie Bahlo; Ingrid E. Scheffer; Michael S. Hildebrand,0,https://doi.org/10.64898/2026.04.24.26351703
Systematic analysis of snRNA genes reveals frequent RNU2-2 variants in dominant and recessive developmental and epileptic encephalopathies,2026-03-30,2026,Nature Genetics,article,Elsa Leitão; Amandine Santini; Benjamin Cogne; Miriam Essid; Maria Athanasiadou; Christy W. LaFlamme; Pierre Marijon; Virginie Bernard; Kévin Jousselin; Nicolas Chatron; Giulia Barcia; Boris Keren; Cyril Mignot; P. Charles; T. Besnard; Robin Paluch; Jean‐Madeleine de Sainte Agathe; Edith P. Almanza Fuerte; Soham Sengupta; Mathieu Milh; Francis Ramond; Talia Allan; Isabelle An; Camila Araújo; Stéphanie Arpin; Christina Austin-Tse; Stéphane Auvin; Sarah Baer; Nadia Bahi-Buisson; Mads Bak; Magalie Barth; Stéphanie Baulac; Nathalie Bednarek-Weirauch; Matthias Begemann; Mark F. Bennett; Uriel Bensabath; Stéphane Bézieau; Rakia Bhouri; Margaux Biehler; Trine Bjørg Hammer; Julie Bogoin; Emilie Bonanno; Simon Boussion; Céline Bris; Adelaide Brosseau-Beauvir; Ange-Line Bruel; Audrey Briand-Suleau; Julien Buratti; Tristan Celse; P. Chambon; Nicole Chémaly; Bertrand Chesneau; E. Colin; Maxime Colmard; Cindy Colson; Solène Conrad; Thomas Courtin; Isabelle Creveaux; Anne-Charlotte Cullier; Louis T. Dang; Anne de Saint Martin; Caroline de Vanssay de Blavous Legendre; Bénédicte Demeer; Anne-Sophie Denommé-Pichon; Philine Diekhoff; Stephanie DiTroia; Martine Doco-Fenzy; C. Dubourg; Charlotte Dubucs; Stéphanie Ducreux; Louis Dufour; Romain Duquet; Benjamin Durand; Salima El Chehadeh; Miriam Elbracht; Laurence Faivre; Marie Faoucher; Anne Faudet; Sylvie Forlani; Mélanie Fradin; Pauline Gaignard; Benjamin Ganne; Aurore Garde; J Géraud; Deepak Gill; Alice Goldenberg; David Grabli; Coraline Grisel; Sophie Guéden; Paul Gueguen; Anne-Marie Guerrot; Agnès Guichet; Tobias B. Haack; Nina Härting; Martin Häusler; Solveig Heide; Theresia Herget; Bénédicte Héron; Delphine Héron; J. Herwig,12,https://doi.org/10.1038/s41588-026-02547-5
"Pathogenic Variants in <em>RNU2‐2</em> , a Non‐coding Spliceosomal RNA , Cause a Distinctive Developmental and Epileptic Encephalopathy",2025-11-19,2025,Annals of Neurology,article,Annie Ting Gee Chiu; Mark F. Bennett; Harshini Thiyagarajah; Amy Schneider; Sian M.W. Macdonald; Tom Witkowski; Edith P. Almanza Fuerte; Talia J. Allan; Nico Lieffering; Blake Robinson; Christy W. LaFlamme; Soham Sengupta; The Australian Undiagnosed Diseases Network (UDN‐Aus); Clara W. T. Chung; Michael Cardamone; Cassandra Gray; Piero Perucca; Samuel F. Berkovic; Heather C. Mefford; Michael S. Hildebrand; Ingrid E. Scheffer,7,https://doi.org/10.1002/ana.78071
Patient-derived models of <em>UBA5-</em> associated encephalopathy identify defects in neurodevelopment and highlight potential therapeutic avenues,2025-05-07,2025,Science Translational Medicine,article,Helen Chen; Christy W. LaFlamme; Yong‐Dong Wang; Aidan W. Blan; Nikki Koehler; Renata Mendonça Moraes; Athena R. Olszewski; Edith P. Almanza Fuerte; Emily Bonkowski; Richa Bajpai; Alfonso Lavado; Shondra M. Pruett‐Miller; Heather C. Mefford,7,https://doi.org/10.1126/scitranslmed.adn8417
<em>SCN1A</em> pathogenic variants do not have a distinctive blood‐derived DNA methylation signature,2025-02-11,2025,Epilepsia,article,Christy W. LaFlamme; Karim Karimi; Cassandra Rastin; Edith P. Almanza Fuerte; Talia Allan; Sophie Russ-Hall; Amy Schneider; Daniel Stobo; Gaëtan Lesca; Joseph D. Symonds; Andreas Brunklaus; Lynette G. Sadleir; Ingrid E. Scheffer; Bekim Sadiković; Heather C. Mefford,3,https://doi.org/10.1111/epi.18315
A population-scale map of human tandem repeat composition and mutation dynamics from long-read assemblies,2024-08-09,2024,bioRxiv (Cold Spring Harbor Laboratory),preprint,Bida Gu; Dandan Peng; Christy W. LaFlamme; Mark F. Bennett; Melanie Bahlo; Ben Weisburd; Heather Mefford; Mark J.P. Chaisson,5,https://doi.org/10.1101/2024.08.07.607105
Diagnostic utility of DNA methylation analysis in genetically unsolved pediatric epilepsies and CHD2 episignature refinement,2024-08-06,2024,Nature Communications,article,Christy W. LaFlamme; Cassandra Rastin; Soham Sengupta; Helen E. Pennington; Sophie Russ-Hall; Amy Schneider; Emily Bonkowski; Edith P. Almanza Fuerte; Talia J. Allan; Miranda Galey; Joy Goffena; Sophia B Gibson; Denis M. Nyaga; Nico Lieffering; Malavika Hebbar; Emily Walker; Daniel Darnell; Scott R. Olsen; Pandurang Kolekar; Mohamed Nadhir Djekidel; Wojciech Rosikiewicz; Haley McConkey; Jennifer Kerkhof; Michael A. Levy; Raissa Relator; Dorit Lev; Tally Lerman‐Sagie; Kristen Park; Mariëlle Alders; Gerarda Cappuccio; Nicolas Chatron; Leigh Demain; David Geneviève; Gaëtan Lesca; Tony Roscioli; Damien Sanlaville; Matthew L. Tedder; Sachin Gupta; Elizabeth A. Jones; Monika Weisz‐Hubshman; Shamika Ketkar; Hongzheng Dai; Kim C. Worley; Jill A. Rosenfeld; Hsiao‐Tuan Chao; Undiagnosed Diseases Network; Geoffrey Neale; Gemma L. Carvill; Zhaoming Wang; Samuel F. Berkovic; Lynette G. Sadleir; Danny E. Miller; Ingrid E. Scheffer; Bekim Sadiković; Heather C. Mefford,25,https://doi.org/10.1038/s41467-024-50159-6
An integrated single-cell RNA-seq map of human neuroblastoma tumors and preclinical models uncovers divergent mesenchymal-like gene expression programs,2024-06-19,2024,Genome biology,article,Richard H. Chapple; Xueying Liu; Sivaraman Natarajan; Margaret I.M. Alexander; Yuna Kim; Anand G. Patel; Christy W. LaFlamme; Min Pan; William C. Wright; Hyeong-Min Lee; Yinwen Zhang; Meifen Lu; Selene C. Koo; Courtney Long; John Harper; Chandra Savage; Melissa Johnson; Thomas Confer; Walter J. Akers; Michael A. Dyer; Heather Sheppard; John Easton; Paul Geeleher,27,https://doi.org/10.1186/s13059-024-03309-4
